EVENTNO,MONTH,DAY,YEAR,TIME,LATITUDE,LONGITUDE,HEADING,LEGTYPE,LEGSTAGE,WX,CLOUD,VISIBLTY,BEAUFORT,SIGHTNO,SPECCODE,IDREL,NUMBER,CONFIDNC,NUMCALF,ANHEAD,PHOTOS,BEHAV1,BEHAV2,BEHAV3,BEHAV4,BEHAV5,BEHAV6,BEHAV7,BEHAV8,BEHAV9,BEHAV10,BEHAV11,BEHAV12,BEHAV13,BEHAV14,BEHAV15,NOTES
1,7,24,2016,91929,47.48230667,-63.48278667,358,5,1,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,"START WATCH FOR DAY: PAD-P, KRH-S, PKH-R "
2,7,24,2016,92007,47.48383833,-63.48287667,359,5,2,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,
3,7,24,2016,92049,47.485445,-63.482965,359,5,2,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,
4,7,24,2016,92107,47.48619,-63.48299,358,5,2,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,
5,7,24,2016,92207,47.488535,-63.48311,359,5,2,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,
6,7,24,2016,92307,47.49088667,-63.48320833,359,5,2,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,24,2016,92407,47.49324833,-63.48332667,359,5,2,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,
8,7,24,2016,92507,47.49561167,-63.48344167,358,5,2,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,
9,7,24,2016,92607,47.49798667,-63.48359,357,5,2,H,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,
10,7,24,2016,92700,47.50007333,-63.48370333,357,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
11,7,24,2016,92707,47.50034833,-63.48372333,358,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
12,7,24,2016,92807,47.50271,-63.4838,359,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
13,7,24,2016,92907,47.50510833,-63.48384667,0,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
14,7,24,2016,93007,47.507475,-63.483905,0,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
15,7,24,2016,93108,47.509855,-63.483995,359,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
16,7,24,2016,93208,47.51225167,-63.48401833,359,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
17,7,24,2016,93308,47.51467833,-63.484095,359,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
18,7,24,2016,93408,47.51708833,-63.48416333,358,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
19,7,24,2016,93508,47.519495,-63.484225,359,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
20,7,24,2016,93608,47.521915,-63.48432833,358,5,2,H,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
21,7,24,2016,93639,47.523165,-63.48438167,358,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
22,7,24,2016,93708,47.52433,-63.48442,359,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
23,7,24,2016,93808,47.52674167,-63.48450333,359,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
24,7,24,2016,93908,47.52913833,-63.484615,358,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
25,7,24,2016,94008,47.53155333,-63.48466833,358,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
26,7,24,2016,94025,47.532245,-63.484705,358,5,2,H,2,5,1,118,HAPO,3,1,0,,,1,,,,,,,,,,,,,,,,
27,7,24,2016,94108,47.53398833,-63.484755,360,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
28,7,24,2016,94208,47.53641833,-63.484825,358,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
29,7,24,2016,94308,47.53883333,-63.4849,359,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
30,7,24,2016,94408,47.541245,-63.485,357,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
31,7,24,2016,94508,47.543655,-63.48507,359,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
32,7,24,2016,94608,47.54606167,-63.48513667,358,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
33,7,24,2016,94708,47.54846,-63.48518833,359,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
34,7,24,2016,94808,47.55088,-63.4852,359,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
35,7,24,2016,94908,47.55328333,-63.48522333,359,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
36,7,24,2016,95008,47.55563333,-63.48525,360,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
37,7,24,2016,95108,47.55801167,-63.48525333,360,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
38,7,24,2016,95208,47.56041167,-63.48525,0,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
39,7,24,2016,95308,47.56282333,-63.48522667,0,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
40,7,24,2016,95408,47.56523667,-63.48520667,0,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
41,7,24,2016,95508,47.56764333,-63.48516667,1,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
42,7,24,2016,95608,47.57005,-63.48515167,360,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
43,7,24,2016,95708,47.57248167,-63.48512833,0,5,2,H,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
44,7,24,2016,95756,47.57437167,-63.48514167,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
45,7,24,2016,95808,47.57484333,-63.48515167,359,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
46,7,24,2016,95908,47.577235,-63.48514,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
47,7,24,2016,100008,47.57965833,-63.48510167,359,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
48,7,24,2016,100024,47.580305,-63.48508833,359,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,"W/C DMM-P, JCA-S, PAD-R"
49,7,24,2016,100108,47.58208333,-63.48504833,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
50,7,24,2016,100208,47.58450667,-63.484995,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
51,7,24,2016,100308,47.58692,-63.48487,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
52,7,24,2016,100408,47.58932333,-63.484725,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
53,7,24,2016,100508,47.59174667,-63.48457167,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
54,7,24,2016,100608,47.594165,-63.48438167,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
55,7,24,2016,100708,47.596575,-63.48423833,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
56,7,24,2016,100808,47.598985,-63.484055,4,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
57,7,24,2016,100908,47.60139,-63.48389833,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
58,7,24,2016,101008,47.60381333,-63.483735,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
59,7,24,2016,101108,47.60624167,-63.48355667,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
60,7,24,2016,101208,47.60863667,-63.48352833,357,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
61,7,24,2016,101308,47.61107167,-63.48363667,358,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
62,7,24,2016,101408,47.61350167,-63.48374833,359,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
63,7,24,2016,101508,47.61593833,-63.48386167,360,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
64,7,24,2016,101608,47.61838,-63.48384333,359,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
65,7,24,2016,101708,47.62081,-63.48382,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
66,7,24,2016,101808,47.62324833,-63.483805,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
67,7,24,2016,101908,47.62568167,-63.48379667,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
68,7,24,2016,102008,47.62812667,-63.48377667,360,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
69,7,24,2016,102108,47.63058667,-63.48376333,360,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
70,7,24,2016,102208,47.63305833,-63.48376333,360,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
71,7,24,2016,102308,47.63552167,-63.48373833,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
72,7,24,2016,102408,47.63797,-63.483715,360,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
73,7,24,2016,102508,47.64041833,-63.483705,360,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
74,7,24,2016,102608,47.64283833,-63.48367833,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
75,7,24,2016,102708,47.64528333,-63.483645,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
76,7,24,2016,102808,47.64775167,-63.48361,360,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
77,7,24,2016,102908,47.65022667,-63.48358333,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
78,7,24,2016,103008,47.65269,-63.48352833,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
79,7,24,2016,103108,47.65517167,-63.48347833,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
80,7,24,2016,103208,47.65765833,-63.483415,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
81,7,24,2016,103308,47.66015167,-63.48334833,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
82,7,24,2016,103408,47.66265167,-63.48327333,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
83,7,24,2016,103508,47.66514,-63.48317333,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
84,7,24,2016,103608,47.66763167,-63.48307,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
85,7,24,2016,103708,47.670135,-63.48292833,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
86,7,24,2016,103808,47.67262333,-63.48276833,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
87,7,24,2016,103908,47.67514667,-63.48270667,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
88,7,24,2016,104008,47.67763667,-63.48251833,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
89,7,24,2016,104108,47.68012833,-63.48233333,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
90,7,24,2016,104208,47.68262,-63.48230333,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
91,7,24,2016,104308,47.68510667,-63.48225167,0,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
92,7,24,2016,104408,47.687565,-63.4822,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
93,7,24,2016,104508,47.69004667,-63.482155,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
94,7,24,2016,104609,47.69252167,-63.48207,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
95,7,24,2016,104709,47.69498167,-63.48199,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
96,7,24,2016,104809,47.69743667,-63.4819,1,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
97,7,24,2016,104909,47.69987833,-63.48181833,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
98,7,24,2016,105009,47.70231833,-63.48169833,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
99,7,24,2016,105109,47.70473667,-63.48156167,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
100,7,24,2016,105209,47.70716667,-63.48141833,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
101,7,24,2016,105309,47.709605,-63.48129333,2,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
102,7,24,2016,105409,47.71203833,-63.48112333,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
103,7,24,2016,105509,47.71447833,-63.48093667,4,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
104,7,24,2016,105609,47.716915,-63.48073167,3,5,2,H,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
